"phase2_record_id","workstream","search_source","query_id","date","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","screening_state","exclusion_reason","evidence_level","final_record_id","notes"
"A0001","A","PubMed","PHASE2-SEARCH-0001","2026-07-31","Robustifying Experimental Tracer Design for(13)C-Metabolic Flux Analysis.","Beyß M; Parra-Peña VD; Ramirez-Malule H; Nöh K","2021","10.3389/fbioe.2021.685323","PMID:34239861","A-DUP-0001","FULL_TEXT_INCLUDED","","LEVEL_1_LOAD_BEARING","P0009","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0002","A","PubMed","PHASE2-SEARCH-0001","2026-07-31","A Pareto approach to resolve the conflict between information gain and experimental costs: Multiple-criteria design of carbon labeling experiments.","Nöh K; Niedenführ S; Beyß M; Wiechert W","2018","10.1371/journal.pcbi.1006533","PMID:30379837","A-DUP-0002","FULL_TEXT_INCLUDED","","LEVEL_1_LOAD_BEARING","P0036","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0003","A","PubMed","PHASE2-SEARCH-0001","2026-07-31","IsoDesign: a software for optimizing the design of 13C-metabolic flux analysis experiments.","Millard P; Sokol S; Letisse F; Portais JC","2014","10.1002/bit.24997","PMID:23893473","A-DUP-0003","DEFERRED_RELEVANT_SUPPORTING","DEFERRED_FROM_NARROW_GAP01_GAP03_REPAIR; ORIGINAL_BROADER_PHASE2_RELEVANCE_PRESERVED","LEVEL_2_SUPPORTING","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot. Abstract-level software/design lead; no load-bearing claim. Phase 2A.1 closure: unique_record_id=P2UT-0008; triage=SUPPORTING; final=FALSE_POSITIVE. Phase 2A.1 scoped repair (2026-07-31): unique_record_id=P2UT-0008; state=DEFERRED_RELEVANT_SUPPORTING; no priority-based inference."
"A0004","A","PubMed","PHASE2-SEARCH-0001","2026-07-31","Rational design of ¹³C-labeling experiments for metabolic flux analysis in mammalian cells.","Crown SB; Ahn WS; Antoniewicz MR","2012","10.1186/1752-0509-6-43","PMID:22591686","A-DUP-0004","FULL_TEXT_INCLUDED","","LEVEL_1_LOAD_BEARING","P0006","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0005","A","PubMed","PHASE2-SEARCH-0001","2026-07-31","Collisional fragmentation of central carbon metabolites in LC-MS/MS increases precision of ¹³C metabolic flux analysis.","Rühl M; Rupp B; Nöh K; Wiechert W; Sauer U; Zamboni N","2012","10.1002/bit.24344","PMID:22012626","A-DUP-0005","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","LEVEL_2_SUPPORTING","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot. Direct measurement-fragmentation lead relevant to measurement design. Phase 2A.1 closure: unique_record_id=P2UT-0006; triage=PERIPHERAL; final=FALSE_POSITIVE. Phase 2A.1 scoped repair (2026-07-31): unique_record_id=P2UT-0006; state=OUT_OF_SCOPE_FOR_PHASE2A1; no priority-based inference."
"A0006","A","PubMed","PHASE2-SEARCH-0001","2026-07-31","OpenFLUX: efficient modelling software for 13C-based metabolic flux analysis.","Quek LE; Wittmann C; Nielsen LK; Krömer JO","2009","10.1186/1475-2859-8-25","PMID:19409084","A-DUP-0006","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0007","A","PubMed","PHASE2-SEARCH-0001","2026-07-31","Experimental design principles for isotopically instationary 13C labeling experiments.","Nöh K; Wiechert W","2006","PMID:16598793","PMID:16598793","A-DUP-0007","DEFERRED_RELEVANT_SUPPORTING","DEFERRED_FROM_NARROW_GAP01_GAP03_REPAIR; ORIGINAL_BROADER_PHASE2_RELEVANCE_PRESERVED","LEVEL_2_SUPPORTING","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot. Phase 2A.1 closure: unique_record_id=P2UT-0232; triage=SUPPORTING; final=FALSE_POSITIVE. Phase 2A.1 scoped repair (2026-07-31): unique_record_id=P2UT-0232; state=DEFERRED_RELEVANT_SUPPORTING; no priority-based inference."
"A0008","A","PubMed","PHASE2-SEARCH-0001","2026-07-31","Theoretical aspects of 13C metabolic flux analysis with sole quantification of carbon dioxide labeling.","Yang TH; Heinzle E; Wittmann C","2005","PMID:15833440","PMID:15833440","A-DUP-0008","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0009","A","PubMed","PHASE2-SEARCH-0001","2026-07-31","A universal framework for 13C metabolic flux analysis.","Wiechert W; Möllney M; Petersen S; de Graaf AA","2001","PMID:11461148","PMID:11461148","A-DUP-0009","TITLE_ABSTRACT_EXCLUDED","NO_GENERALISABLE_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
"A0010","A","OpenAlex","PHASE2-SEARCH-0002","2026-07-31","Rational design of 13C-labeling experiments for metabolic flux analysis in mammalian cells","Scott B. Crown; Woo Suk Ahn; Maciek R. Antoniewicz","2012","10.1186/1752-0509-6-43","https://openalex.org/W2008421457","A-DUP-0004","DUPLICATE","DUPLICATE_RECORD_RETURNED_BY_EARLIER_PHASE2A_QUERY","LEVEL_3_DISCOVERY_ONLY","P0006","Prospective Workstream A screening; API result-rank set preserved in raw snapshot."
