"workstream_record_id","search_source","query_id","search_date","title","year","doi_or_identifier","source_native_id","citation_anchor","duplicate_group","screening_state","exclusion_reason","evidence_level","final_corpus_id","notes"
"AC0001","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic flux analysis of CHO cells at growth and non-growth phases using isotopic tracers and mass spectrometry","","10.1016/j.ymben.2011.07.002","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0001","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0002","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Towards dynamic metabolic flux analysis in CHO cell cultures","","10.1002/biot.201100052","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0002","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0003","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Determination of confidence intervals of metabolic fluxes estimated from stable isotope measurements","","10.1016/j.ymben.2006.01.004","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0003","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0004","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Accurate assessment of amino acid mass isotopomer distributions for metabolic flux analysis","","10.1021/ac0708893","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0004","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0005","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Elementary metabolite units (EMU): a novel framework for modeling isotopic distributions","","10.1016/j.ymben.2006.09.001","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0005","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0006","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Measuring deuterium enrichment of glucose hydrogen atoms by gas chromatography/mass spectrometry","","10.1021/ac200012p","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0006","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0007","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Metabolic flux analysis in a nonstationary system: fed-batch fermentation of a high yielding strain of E. coli producing 1,3-propanediol","","10.1016/j.ymben.2007.01.003","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0007","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0008","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","An improved method for statistical analysis of metabolic flux analysis using isotopomer mapping matrices with analytical expressions","","10.1016/s0168-1656(03)00169-x","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0008","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0009","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Identification of optimal measurement sets for complete flux elucidation in metabolic flux analysis experiments","","10.1002/bit.21926","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0009","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
"AC0010","Primary full-text reference list","PHASE2-SEARCH-0056","2026-07-31","Tandem mass spectrometry: A novel approach for metabolic flux analysis","","10.1016/j.ymben.2010.11.006","","10.1016/j.ymben.2011.12.005","A-CLOSE-DUP-0010","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_EXPERIMENTAL_DESIGN_METHOD","LEVEL_3_DISCOVERY_ONLY","","Prospective backward-reference occurrence."
