"phase2_record_id","workstream","search_source","query_id","date","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","screening_state","exclusion_reason","evidence_level","final_record_id","notes"
"B-AUDIT-SOFTWARE-0001","B","PMC primary paper and official SourceForge project","PHASE2-SEARCH-0115","2026-07-31","ModelDiscriminationToolkitGUI","Stegmaier J; Skanda D; Lebiedz D","2013","https://sourceforge.net/projects/mdtgui/","PMCID:PMC3563641;SourceForge:mdtgui","B-SOFTWARE-MDTGUI","FULL_TEXT_INCLUDED","NA","LEVEL_1_LOAD_BEARING","S0017","Distinct software record discovered and verified in P0049: GPL GUI implementing robust biochemical model-discrimination and measurement-time design; not a second paper occurrence."
"B-AUDIT-000001","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Discrimination of Microalgal Cellular Metabolic Heterogeneity and 13C Metabolic Flux Analysis via Micro Label-Free Mass Cytometry","","","10.1021/acs.analchem.5c03905.s004","10.1021/acs.analchem.5c03905.s004","B-10.1021/acs.analchem.5c03905.s004","TITLE_ABSTRACT_EXCLUDED","NOT_PRIMARY_ARTICLE_ANCILLARY_MATERIAL","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000002","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Discrimination of Microalgal Cellular Metabolic Heterogeneity and 13C Metabolic Flux Analysis via Micro Label-Free Mass Cytometry","","","10.1021/acs.analchem.5c03905.s001","10.1021/acs.analchem.5c03905.s001","B-10.1021/acs.analchem.5c03905.s001","TITLE_ABSTRACT_EXCLUDED","NOT_PRIMARY_ARTICLE_ANCILLARY_MATERIAL","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000003","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Discrimination of Microalgal Cellular Metabolic Heterogeneity and 13C Metabolic Flux Analysis via Micro Label-Free Mass Cytometry","","","10.1021/acs.analchem.5c03905.s002","10.1021/acs.analchem.5c03905.s002","B-10.1021/acs.analchem.5c03905.s002","TITLE_ABSTRACT_EXCLUDED","NOT_PRIMARY_ARTICLE_ANCILLARY_MATERIAL","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000004","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Discrimination of Microalgal Cellular Metabolic Heterogeneity and 13C Metabolic Flux Analysis via Micro Label-Free Mass Cytometry","","","10.1021/acs.analchem.5c03905.s003","10.1021/acs.analchem.5c03905.s003","B-10.1021/acs.analchem.5c03905.s003","TITLE_ABSTRACT_EXCLUDED","NOT_PRIMARY_ARTICLE_ANCILLARY_MATERIAL","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000005","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Review for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","","2023","10.1002/btpr.3413/v2/review1","10.1002/btpr.3413/v2/review1","B-10.1002/btpr.3413/v2/review1","TITLE_ABSTRACT_EXCLUDED","NOT_PRIMARY_ARTICLE_ANCILLARY_MATERIAL","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000006","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Review for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","","2023","10.1002/btpr.3413/v1/review2","10.1002/btpr.3413/v1/review2","B-10.1002/btpr.3413/v1/review2","TITLE_ABSTRACT_EXCLUDED","NOT_PRIMARY_ARTICLE_ANCILLARY_MATERIAL","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000007","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Review for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","","2023","10.1002/btpr.3413/v2/review2","10.1002/btpr.3413/v2/review2","B-10.1002/btpr.3413/v2/review2","TITLE_ABSTRACT_EXCLUDED","NOT_PRIMARY_ARTICLE_ANCILLARY_MATERIAL","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000008","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Review for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","","2023","10.1002/btpr.3413/v1/review1","10.1002/btpr.3413/v1/review1","B-10.1002/btpr.3413/v1/review1","TITLE_ABSTRACT_EXCLUDED","NOT_PRIMARY_ARTICLE_ANCILLARY_MATERIAL","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000009","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Parallel labeling experiments with [U-13C]glucose validate E. coli metabolic network model for 13C metabolic flux analysis","Robert W. Leighty; Maciek R. Antoniewicz","2012","10.1016/j.ymben.2012.06.003","10.1016/j.ymben.2012.06.003","B-10.1016/j.ymben.2012.06.003","DUPLICATE","DUPLICATE_OF_P0033","LEVEL_3_DISCOVERY_ONLY","P0033","First 50 results of broad prospective Crossref audit pass."
"B-AUDIT-000010","B","Crossref","PHASE2-SEARCH-0100","2026-07-31","Decision letter for ""Model Validation and Selection in Metabolic Flux Analysis and Flux Balance Analysis""","","2023","10.1002/btpr.3413/v2/decision1","10.1002/btpr.3413/v2/decision1","B-10.1002/btpr.3413/v2/decision1","TITLE_ABSTRACT_EXCLUDED","NOT_PRIMARY_ARTICLE_ANCILLARY_MATERIAL","LEVEL_3_DISCOVERY_ONLY","","First 50 results of broad prospective Crossref audit pass."
