"discovery_id","search_id","source","search_date","title","authors","year","doi_or_identifier","url","duplicate_group","screening_state","exclusion_reason","software_name","evidence_level","final_corpus_id","notes"
"E-D0001","PHASE2-SEARCH-0041","JuGit project API","2026-07-31","IBG-1 / ModSim / Fluxomics / 13CFLUX","NR","2020","2090","https://jugit.fz-juelich.de/IBG-1/ModSim/Fluxomics/13CFLUX","13CFLUX(v3)","FULL_TEXT_INCLUDED","NA","13CFLUX(v3)","LEVEL_1_LOAD_BEARING","S0009","Official repository and versioned paths inspected."
"E-D0002","PHASE2-SEARCH-0044","GitHub repository API","2026-07-31","fumiomatsuda/mfapy","NR","2018","137216431","https://github.com/fumiomatsuda/mfapy","mfapy","FULL_TEXT_INCLUDED","NA","mfapy","LEVEL_1_LOAD_BEARING","S0004","Official repository and versioned paths inspected."
"E-D0003","PHASE2-SEARCH-0045","GitHub repository API","2026-07-31","Chaowu88/freeflux","NR","2022","525750758","https://github.com/Chaowu88/freeflux","FreeFlux","FULL_TEXT_INCLUDED","NA","FreeFlux","LEVEL_1_LOAD_BEARING","S0005","Official repository and versioned paths inspected."
"E-D0004","PHASE2-SEARCH-0048","GitHub repository API","2026-07-31","sgsokol/influx","NR","2019","220258846","https://github.com/sgsokol/influx","influx_s","FULL_TEXT_INCLUDED","NA","influx_s","LEVEL_1_LOAD_BEARING","S0007","Official repository and versioned paths inspected."
"E-D0005","PHASE2-SEARCH-0050","GitHub repository API","2026-07-31","cfoguet/iso2flux","NR","2016","60068478","https://github.com/cfoguet/iso2flux","Iso2Flux","FULL_TEXT_INCLUDED","NA","Iso2Flux","LEVEL_1_LOAD_BEARING","S0011","Official repository and versioned paths inspected."
"E-D0006","PHASE2-SEARCH-0042","PubMed","2026-07-31","INCA: a computational platform for isotopically non-stationary metabolic flux analysis.","Young JD","2014","PMID:24413674","https://pubmed.ncbi.nlm.nih.gov/24413674/","INCA","TITLE_ABSTRACT_INCLUDED","NA","INCA","LEVEL_2_SUPPORTING","S0002","Software paper; capability claims require repository/document inspection."
"E-D0007","PHASE2-SEARCH-0043","PubMed","2026-07-31","FreeFlux: A Python Package for Time-Efficient Isotopically Nonstationary Metabolic Flux Analysis.","Wu C","2023","PMID:37561998","https://pubmed.ncbi.nlm.nih.gov/37561998/","FreeFlux","TITLE_ABSTRACT_INCLUDED","NA","FreeFlux","LEVEL_2_SUPPORTING","S0005","Software paper; capability claims require repository/document inspection."
"E-D0008","PHASE2-SEARCH-0043","PubMed","2026-07-31","A scientific workflow framework for (13)C metabolic flux analysis.","Dalman T","2016","PMID:26721184","https://pubmed.ncbi.nlm.nih.gov/26721184/","13C-MFA software lead","TITLE_ABSTRACT_INCLUDED","NA","13C-MFA software lead","LEVEL_2_SUPPORTING","","Software paper; capability claims require repository/document inspection."
"E-D0009","PHASE2-SEARCH-0043","PubMed","2026-07-31","Mathematical modeling of isotope labeling experiments for metabolic flux analysis.","Nargund S","2014","PMID:24218213","https://pubmed.ncbi.nlm.nih.gov/24218213/","E-SINGLE-E-D0009","TITLE_ABSTRACT_EXCLUDED","Not a software-method record relevant to Workstream E","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0010","PHASE2-SEARCH-0043","PubMed","2026-07-31","Metabolic flux analysis of recombinant Pichia pastoris growing on different glycerol/methanol mixtures by iterative fitting of NMR-derived (13)C-labelling data from proteinogenic amino acids.","Jordà J","2014","PMID:23845285","https://pubmed.ncbi.nlm.nih.gov/23845285/","E-SINGLE-E-D0010","TITLE_ABSTRACT_EXCLUDED","Not a software-method record relevant to Workstream E","","LEVEL_3_DISCOVERY_ONLY","",""
"E-D0011","PHASE2-SEARCH-0043","PubMed","2026-07-31","iMS2Flux--a high-throughput processing tool for stable isotope labeled mass spectrometric data used for metabolic flux analysis.","Poskar CH","2012","PMID:23146204","https://pubmed.ncbi.nlm.nih.gov/23146204/","iMS2Flux","TITLE_ABSTRACT_INCLUDED","NA","iMS2Flux","LEVEL_2_SUPPORTING","","Software paper; capability claims require repository/document inspection."
