"unique_record_id","title","authors","year","doi_or_identifier","source_occurrence_count","workstream","candidate_gap_affected","methodological_family","likely_load_bearing","current_evidence_depth","full_text_access_status","screening_priority","final_disposition","exclusion_reason","evidence_location","notes"
"P2UT-0001","Pitfalls of using a single criterion for selecting experimental designs","","","","1","A","none","domain_context_or_application","PERIPHERAL","TITLE_ABSTRACT_LEVEL","NOT_ASSESSED","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=AC0113. Query IDs=PHASE2-SEARCH-0056. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0002","Bidirectional reaction steps in metabolic networks: II. Flux estimation and statistical analysis","Wolfgang Wiechert; Claudia Siefke; Albert A. de Graaf; Achim Marx","1997","10.1002/(sici)1097-0290(19970705)55:1<118::aid-bit13>3.0.co;2-i","1","D","none","model_misspecification_context","PERIPHERAL","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=DCL0091. Query IDs=PHASE2-SEARCH-0106. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0003","Nuisance Parameters","Bruce G. Lindsay","2014","10.1002/9781118445112.stat00660","1","C","GAP-01;GAP-03","nuisance_parameter_methods","SUPPORTING","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_3","DEFERRED_RELEVANT_ADJACENT","ADJACENT_TO_BROADER_REVIEW_BUT_NOT_FULL_TEXT_PRIORITISED_FOR_NARROW_GAP01_GAP03_REPAIR","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=C0250. Query IDs=PHASE2-SEARCH-0030. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by DEFERRED_RELEVANT_ADJACENT; original broader-review relevance preserved."
"P2UT-0004","Pool size measurements improve precision of flux estimates but increase sensitivity to unmodeled reactions outside the core network in isotopically nonstationary metabolic flux analysis (INST‐MFA)","","2022","10.1002/biot.202000427","1","A","none","domain_context_or_application","PERIPHERAL","ABSTRACT_LEVEL","NOT_INSPECTED:paywalled_or_inaccessible","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=AC0346. Query IDs=PHASE2-SEARCH-0059. Existing corpus ID(s)=P0016. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0005","An elementary metabolite unit (EMU) based method of isotopically nonstationary flux analysis","","","10.1002/bit.21632","1","A","none","domain_context_or_application","PERIPHERAL","ABSTRACT_LEVEL","NOT_INSPECTED:not_retrieved","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=AC0028. Query IDs=PHASE2-SEARCH-0056. Existing corpus ID(s)=P0013. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0006","Collisional fragmentation of central carbon metabolites in LC-MS/MS increases precision of ¹³C metabolic flux analysis.","Rühl M; Rupp B; Nöh K; Wiechert W; Sauer U; Zamboni N","2012","10.1002/bit.24344","1","A","none","domain_context_or_application","PERIPHERAL","TITLE_ABSTRACT_LEVEL","NOT_ASSESSED","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=A0005. Query IDs=PHASE2-SEARCH-0001. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0007","Evaluating differences of metabolic performances: Statistical methods and their application to animal cell cultivations","Oliver Hädicke; Verena Lohr; Yvonne Genzel; Udo Reichl; Steffen Klamt","2013","10.1002/bit.24926","1","D","none","model_misspecification_context","PERIPHERAL","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=DCL0111. Query IDs=PHASE2-SEARCH-0106. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0008","IsoDesign: a software for optimizing the design of 13C-metabolic flux analysis experiments.","Millard P; Sokol S; Letisse F; Portais JC","2014","10.1002/bit.24997","1","A","none","scientific_software_or_workflow","SUPPORTING","TITLE_ABSTRACT_LEVEL","NOT_ASSESSED","PRIORITY_3","DEFERRED_RELEVANT_SUPPORTING","DEFERRED_FROM_NARROW_GAP01_GAP03_REPAIR; ORIGINAL_BROADER_PHASE2_RELEVANCE_PRESERVED","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=A0003. Query IDs=PHASE2-SEARCH-0001. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by DEFERRED_RELEVANT_SUPPORTING; original broader-review relevance preserved."
"P2UT-0009","Application of macroscopic balances to the identification of gross measurement errors","Nam Sun Wang; Gregory Stephanopoulos","1983","10.1002/bit.260250906","1","D","none","model_misspecification_context","PERIPHERAL","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=DCL0098. Query IDs=PHASE2-SEARCH-0106. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
"P2UT-0010","Linear constraint relations in biochemical reaction systems: I. Classification of the calculability and the balanceability of conversion rates","R. T. J. M. van der Heijden; Joseph J. Heijnen; C. Hellinga; B. Romein; K. Ch. A. M. Luyben","1994","10.1002/bit.260430103","1","D","none","model_misspecification_context","PERIPHERAL","DISCOVERY_ONLY","NOT_ASSESSED","PRIORITY_4","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","","Prospective Phase 2A.1 paper-level triage; no new search performed. Occurrences=DCL0094. Query IDs=PHASE2-SEARCH-0106. No stable corpus paper ID assigned at triage. Grouping used canonical DOI/identifier first. Exact normalized-title fallback required author overlap, or a missing identifier plus a long title and compatible year. Phase 2A.1 final triage: excluded from the bounded foundational repair after title/abstract/citation-context assessment; this record cannot support an absence or novelty conclusion. Phase 2A.1 scoped-repair correction (2026-07-31): automatic FALSE_POSITIVE closure superseded by OUT_OF_SCOPE_FOR_PHASE2A1; original broader-review relevance preserved."
