"change_id","change_date","unique_record_id","phase2_record_id","artifacts_changed","previous_state","new_state","reason","mapping_source","status"
"P2A1-CLOSURE-0001","2026-07-31","P2UT-0008","A0003","audit/phase2_screening.csv;audit/phase2_unresolved_triage.csv","FALSE_POSITIVE","DEFERRED_RELEVANT_SUPPORTING","DEFERRED_FROM_NARROW_GAP01_GAP03_REPAIR; ORIGINAL_BROADER_PHASE2_RELEVANCE_PRESERVED","audit/phase2a1_deferred_records.csv","APPLIED"
"P2A1-CLOSURE-0002","2026-07-31","P2UT-0006","A0005","audit/phase2_screening.csv;audit/phase2_unresolved_triage.csv","FALSE_POSITIVE","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","audit/phase2a1_deferred_records.csv","APPLIED"
"P2A1-CLOSURE-0003","2026-07-31","P2UT-0232","A0007","audit/phase2_screening.csv;audit/phase2_unresolved_triage.csv","FALSE_POSITIVE","DEFERRED_RELEVANT_SUPPORTING","DEFERRED_FROM_NARROW_GAP01_GAP03_REPAIR; ORIGINAL_BROADER_PHASE2_RELEVANCE_PRESERVED","audit/phase2a1_deferred_records.csv","APPLIED"
"P2A1-CLOSURE-0004","2026-07-31","P2UT-0152","A0014","audit/phase2_screening.csv;audit/phase2_unresolved_triage.csv","FALSE_POSITIVE","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","audit/phase2a1_deferred_records.csv","APPLIED"
"P2A1-CLOSURE-0005","2026-07-31","P2UT-0048","A0017","audit/phase2_screening.csv;audit/phase2_unresolved_triage.csv","FALSE_POSITIVE","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","audit/phase2a1_deferred_records.csv","APPLIED"
"P2A1-CLOSURE-0006","2026-07-31","P2UT-0158","A0021","audit/phase2_screening.csv;audit/phase2_unresolved_triage.csv","FALSE_POSITIVE","DEFERRED_RELEVANT_SUPPORTING","DEFERRED_FROM_NARROW_GAP01_GAP03_REPAIR; ORIGINAL_BROADER_PHASE2_RELEVANCE_PRESERVED","audit/phase2a1_deferred_records.csv","APPLIED"
"P2A1-CLOSURE-0007","2026-07-31","P2UT-0155","A0043","audit/phase2_screening.csv;audit/phase2_unresolved_triage.csv","FALSE_POSITIVE","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","audit/phase2a1_deferred_records.csv","APPLIED"
"P2A1-CLOSURE-0008","2026-07-31","P2UT-0159","A0050","audit/phase2_screening.csv;audit/phase2_unresolved_triage.csv","FALSE_POSITIVE","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","audit/phase2a1_deferred_records.csv","APPLIED"
"P2A1-CLOSURE-0009","2026-07-31","P2UT-0076","A0067","audit/phase2_screening.csv;audit/phase2_unresolved_triage.csv","FALSE_POSITIVE","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","audit/phase2a1_deferred_records.csv","APPLIED"
"P2A1-CLOSURE-0010","2026-07-31","P2UT-0057","A0076","audit/phase2_screening.csv;audit/phase2_unresolved_triage.csv","FALSE_POSITIVE","DEFERRED_RELEVANT_SUPPORTING","DEFERRED_FROM_NARROW_GAP01_GAP03_REPAIR; ORIGINAL_BROADER_PHASE2_RELEVANCE_PRESERVED","audit/phase2a1_deferred_records.csv","APPLIED"
"P2A1-CLOSURE-0011","2026-07-31","P2UT-0088","A0078","audit/phase2_screening.csv;audit/phase2_unresolved_triage.csv","FALSE_POSITIVE","OUT_OF_SCOPE_FOR_PHASE2A1","OUTSIDE_NARROW_GAP01_GAP03_REPAIR; NOT_EXCLUDED_FROM_BROADER_PHASE2_REVIEW","audit/phase2a1_deferred_records.csv","APPLIED"
