"unique_record_id","workstream_record_id","title","authors","year","doi_or_identifier","initial_triage","final_disposition","full_text_access_status","full_text_inspected","access_routes_attempted","primary_source_or_best_official_url","equivalent_verified_evidence","evidence_location","verified_result","guarantee_regime","observation_regime","uncertainty_class","upper_bound_or_construction","lower_bound_or_converse","transfer_to_emu","gap01_effect","gap03_effect","corpus_action","exclusion_reason","notes"
"P2UT-0018","C0402","Robust Testing for Independent Non Identically Distributed Variables and Markov Chains","Lucien Birgé","1983","10.1007/978-1-4612-5503-1_9","LOAD_BEARING","FULL_TEXT_UNAVAILABLE","PAYWALLED_NO_LEGAL_OPEN_COPY_FOUND","no","DOI/Springer chapter page; exact-title searches of recognised institutional repositories and author/publication routes","https://link.springer.com/chapter/10.1007/978-1-4612-5503-1_9","No current corpus row verifies this chapter's exact result. Later verified Birgé-family sources must not be treated as substitutes for its theorem statement without an explicit equivalence argument.","Springer bibliographic record only: Robust and Nonlinear Time Series Analysis, Lecture Notes in Statistics 26, pp. 134-162. No theorem or methodological passage inspected.","No guarantee-level conclusion drawn. The title and citations identify a potentially consequential independent non-identically distributed robust-testing family, but the exact hypotheses, finite-sample error bounds and Markov assumptions remain unverified.","unclear","unclear","unclear","","unverified","UNRESOLVED FROM CURRENT EVIDENCE","Could falsify the claim that heterogeneous fixed-block testing needs new theory, but cannot support that conclusion without primary full text.","Could contain a finite-sample lower bound or impossibility result, but none is verified.","DO_NOT_ADD_UNTIL_FULL_TEXT_VERIFIED","","Manual or library retrieval is justified if no other full-text anchor closes the same independent non-identically distributed testing family."
"P2UT-0026","C0286","Robust Hypothesis Testing with a Single Distance","Gökhan Gül","2017","10.1007/978-3-319-49286-5_3","LOAD_BEARING","FULL_TEXT_UNAVAILABLE","PAYWALLED_NO_LEGAL_OPEN_COPY_FOUND","no","DOI/Springer chapter page; author/dissertation and recognised repository searches","https://link.springer.com/chapter/10.1007/978-3-319-49286-5_3","P0041 (Gül and Zoubir 2017) verifies closely overlapping minimax robust-testing theory from the same research programme; C0650 and C0652 verify the squared-Hellinger special case. They do not verify every assertion in this chapter.","Springer chapter metadata and book table of contents only; chapter pages 23-52. No theorem inspected.","No independent guarantee-level conclusion drawn from the chapter.","unclear","unclear","distance neighbourhood around nominal distributions","","unverified","UNRESOLVED FROM CURRENT EVIDENCE","Non-load-bearing once P0041 and the primary papers are used; the chapter cannot independently establish fixed-sample guarantees.","No chapter-specific converse verified.","DO_NOT_ADD_BOOK_CHAPTER;USE_VERIFIED_PRIMARY_PAPERS","","The chapter is supporting exposition, not necessary evidence for a conclusion already traceable to verified primary papers."
"P2UT-0027","C0283","Robust Hypothesis Testing with Multiple Distances","Gökhan Gül","2017","10.1007/978-3-319-49286-5_4","LOAD_BEARING","FULL_TEXT_UNAVAILABLE","PAYWALLED_NO_LEGAL_OPEN_COPY_FOUND","no","DOI/Springer chapter page; author/dissertation and recognised repository searches","https://link.springer.com/chapter/10.1007/978-3-319-49286-5_4","P0041 and C0656 verify overlapping composite and alpha-divergence uncertainty constructions. C0653 is the closest conference precursor but also remains unavailable.","Springer chapter metadata and book table of contents only; chapter pages 53-80, including listed Section 4.4.2 'Existence of Least Favorable Distributions'. The section itself was not inspected.","No independent guarantee-level conclusion drawn from the chapter.","unclear","unclear","multiple distance neighbourhoods","","unverified","UNRESOLVED FROM CURRENT EVIDENCE","Non-load-bearing for broad existence of robust composite tests because verified primary papers already establish that result.","No chapter-specific converse verified.","DO_NOT_ADD_BOOK_CHAPTER;USE_VERIFIED_PRIMARY_PAPERS","","The table of contents is discovery evidence only and cannot establish the conditions or scope of the existence result."
"P2UT-0028","C0285","Robust Hypothesis Testing with Repeated Observations","Gökhan Gül","2017","10.1007/978-3-319-49286-5_5","LOAD_BEARING","FULL_TEXT_UNAVAILABLE","PAYWALLED_NO_LEGAL_OPEN_COPY_FOUND","no","DOI/Springer chapter page; author/dissertation and recognised repository searches","https://link.springer.com/chapter/10.1007/978-3-319-49286-5_5","P0041 Section IV verifies a fixed-sample asymptotic extension and Section V identifies failures of some robustifications; it does not verify an exact finite-sample repeated-observation theorem for this chapter.","Springer chapter metadata and book table of contents only; chapter pages 81-98. No theorem inspected.","No conclusion is drawn about whether repeated independent observations retain one-sample minimaxity for the chapter's uncertainty classes.","unclear","repeated observations; fixed and variable sample mentioned only in publisher description","unclear","","unverified","UNRESOLVED FROM CURRENT EVIDENCE","Potentially relevant to fixed-replicate testing, but the verified neighbouring paper supports only more limited/asymptotic claims.","Could contain a failure or existence condition for repeated-observation minimaxity, but it is unverified.","DO_NOT_ADD_UNTIL_FULL_TEXT_VERIFIED","","Manual retrieval is only needed if no verified primary paper settles repeated-observation minimaxity for the same uncertainty class."
"P2UT-0031","C0405","Testing hypotheses on independent, not identically distributed models","Wolfgang Wefelmeyer","1987","10.1007/978-94-009-3963-9_20","LOAD_BEARING","FALSE_POSITIVE","PAYWALLED;AUTHOR_PAGE_AND_PUBLISHER_ABSTRACT_INSPECTED","no","DOI/Springer chapter page; official author publication page; publisher-supplied bibliographic abstract","https://link.springer.com/chapter/10.1007/978-94-009-3963-9_20","None required for disposition.","Publisher-supplied abstract: states asymptotic smoothness and an asymptotic power bound under contiguous alternatives; official author bibliography confirms the chapter, pp. 547-564.","The paper concerns asymptotic power theory for independent non-identically distributed models, not fixed-sample nonasymptotic error control or a finite-sample converse.","local_asymptotic","independent non-identically distributed observations; asymptotic contiguous alternatives","parametric nuisance structure","","no fixed-sample converse verified","NOT APPLICABLE","Does not falsify the fixed-sample components of GAP-01.","Does not supply the finite-sample lower bound or design-specific impossibility at issue in GAP-03.","DO_NOT_ADD_FOR_PHASE2A1_FIXED_SAMPLE_FAMILY","Authoritative abstract places the result in an asymptotic contiguous-alternative regime.","Full text remains paywalled, so no stronger claim about the chapter is encoded."
"P2UT-0123","C0650","Robust hypothesis testing for modeling errors","Gökhan Gül; Abdelhak M. Zoubir","2013","10.1109/ICASSP.2013.6638718","LOAD_BEARING","FULL_TEXT_INCLUDED","OPEN_INSTITUTIONAL_PROCEEDINGS_COPY","yes","DOI/IEEE record; exact-title search; University of Zaragoza ICASSP proceedings archive","https://dihana.cps.unizar.es/proceedings/ICASSP/2013/pdfs/0005514.pdf","C0652 is the authors' verified follow-up that reduces the computation and derives the allowable robustness boundary.","pp. 5514-5518: Abstract; Section 2.1 equations (1)-(6) defines the binary squared-Hellinger neighbourhoods and Bayes/minimax problem; Sections 2.2-2.3 derive least-favourable densities and robust rule; Section 4 concludes.","Constructs a minimax robust test between two composite squared-Hellinger neighbourhoods of nominal dominated laws. It derives least-favourable densities and a nonlinear robust likelihood-ratio rule for the one-sample observation law.","exact_finite_sample","single observation from a dominated binary model","two squared-Hellinger distribution neighbourhoods","least-favourable pair and robust randomized likelihood-ratio rule","none in this paper","APPLICABLE WITH COMPUTATIONAL ADAPTATION","Falsifies a broad absence claim for exact fixed-sample minimax tests between special composite distribution classes; it does not solve testing or design over the exact nonlinear EMU-induced families.","Does not provide sample-complexity or tracer-design converses.","ADD_TO_CORPUS_NEW_ID_PENDING","","Direct transfer requires specifying a dominated observation law and replacing or outer-bounding each EMU family by a Hellinger ball; that surrogate can lose mechanistic meaning."
"P2UT-0130","C0653","Robust hypothesis testing with composite distances","Gökhan Gül; Abdelhak M. Zoubir","2014","10.1109/SSP.2014.6884668","LOAD_BEARING","FULL_TEXT_UNAVAILABLE","PAYWALLED_NO_LEGAL_OPEN_COPY_FOUND","no","DOI/IEEE page; proceedings table of contents; exact-title author and recognised-repository searches","https://doi.org/10.1109/SSP.2014.6884668","P0041 and C0656 verify closely related minimax tests over composite or alpha-divergence uncertainty classes; they do not verify this conference paper's exact two-distance construction.","IEEE SSP 2014 table of contents, pp. 432-435, and abstract only. No theorem inspected.","The abstract claims a composite uncertainty class using two distances and existence of least-favourable distributions, but the assumptions and proof were not inspected and therefore are not encoded as verified.","unclear","unclear","combined model-error and outlier distance classes","","unverified","UNRESOLVED FROM CURRENT EVIDENCE","Broad robust-composite existence is already established by verified primary evidence; this record is supporting unless its exact two-distance construction becomes consequential.","No verified converse.","DO_NOT_ADD_UNTIL_FULL_TEXT_VERIFIED","","Do not use the abstract's existence claim as theorem-level evidence."
"P2UT-0136","C0656","Robust Hypothesis Testing with α-Divergence","Gökhan Gül; Abdelhak M. Zoubir","2016","10.1109/TSP.2016.2569405","LOAD_BEARING","FULL_TEXT_INCLUDED","OPEN_AUTHOR_MANUSCRIPT","yes","DOI/IEEE record; arXiv author manuscript linked to the published DOI","https://arxiv.org/abs/1501.05019","P0041 is a related later paper but is not needed to verify this record.","arXiv v3: Section II-A equations (1)-(7) defines dominated alpha-divergence balls and errors; Section II-B equations (8)-(10) establishes the saddle formulation; Theorem III.1 and equations (15)-(20) give the unique least-favourable densities and robust rule; Section III-C derives maximum robustness; Figure 10 and Section V state nonexistence beyond overlap boundary and limitations.","For two dominated composite hypotheses defined by alpha-divergence balls, gives an exact saddle-value minimax Bayes test, least-favourable distributions and a computable robust likelihood-ratio rule. It also derives parameter regions where the least-favourable laws overlap and no minimax robust test of the specified form exists.","exact_finite_sample","a fixed finite observation vector treated through its joint dominated law","two alpha-divergence distribution neighbourhoods","Theorem III.1: unique least-favourable densities and randomized robust likelihood-ratio rule from two nonlinear equations","Exact overlap/robustness-radius obstruction in Section III-C and Figure 10; not a sample-complexity converse","APPLICABLE WITH COMPUTATIONAL ADAPTATION","Establishes exact fixed-sample minimax testing for an important convex surrogate class, rejecting any broad claim that composite-versus-composite finite-sample minimax tests do not exist. It does not compute a test over the exact nonconvex EMU image families or optimize experimental design.","Establishes an identifiability/overlap obstruction for divergence balls, weakening a broad impossibility-gap claim; it does not give replicate-count or design-specific EMU converses.","ADD_TO_CORPUS_NEW_ID_PENDING","","Theorem requires dominated laws and convex alpha-divergence balls. The paper's stated open problem is monotonicity of threshold parameters with robustness radius or alpha."
"P2UT-0143","C0483","On Verifying Composite Hypotheses with Nuisance Parameters in the Multivariate Case","A. V. Bernshtein","1981","10.1137/1125037","LOAD_BEARING","FULL_TEXT_UNAVAILABLE","PAYWALLED_NO_LEGAL_OPEN_COPY_FOUND","no","DOI/SIAM publisher page; Math-Net author/index route and original-language bibliographic searches","https://epubs.siam.org/doi/10.1137/1125037","No exact equivalent source in the current corpus.","SIAM bibliographic record, Theory of Probability and Its Applications 25(2), pp. 287-298; reference list is dominated by local/asymptotic testing work. No theorem or methodological passage inspected.","No claim about fixed-sample construction, uniform errors or converse is drawn. Bibliographic context suggests an asymptotic family but is insufficient to classify the paper's actual result.","unclear","unclear","multivariate nuisance parameters","","unverified","UNRESOLVED FROM CURRENT EVIDENCE","Could bear on nuisance-parameter testing, but cannot falsify an exact finite-sample claim until the primary result is inspected.","Could contain only local/asymptotic optimality rather than a finite-sample converse; the distinction is unresolved.","DO_NOT_ADD_UNTIL_FULL_TEXT_VERIFIED","","Manual retrieval is warranted only if verified foundational sources do not already close the same nuisance-parameter family."
"P2UT-0221","C0652","Robust Hypothesis Testing With Squared Hellinger Distance","Gökhan Gül; Abdelhak M. Zoubir","2014","10.5281/zenodo.54502","LOAD_BEARING","FULL_TEXT_INCLUDED","OPEN_OFFICIAL_PROCEEDINGS_COPY","yes","Zenodo DOI metadata; official EURASIP EUSIPCO proceedings PDF","https://www.eurasip.org/Proceedings/Eusipco/Eusipco2014/HTML/papers/1569926589.pdf","C0650 is the verified precursor.","Section 2.1 equations (1)-(6) defines Hellinger balls, false alarm, miss and minimax Bayes error; Sections 2.2-3 derive LFDs and reduce computation; Section 4 equations (23)-(36) gives the exact overlap/maximum-robustness boundary; Figure 1 and lines in Section 5 state parameter regions where no minimax robust test can be designed; Section 6 concludes.","Constructs the squared-Hellinger-ball minimax test and reduces its computation from four nonlinear equations to two, or one under symmetry. It derives exact robustness-radius boundaries at which least-favourable distributions overlap and the robust test is not designable.","exact_finite_sample","single observation from a dominated binary model","two squared-Hellinger distribution neighbourhoods","least-favourable pair and robust rule; reduced nonlinear system","Section 4 exact overlap/maximum-robustness obstruction; not a sample-complexity converse","APPLICABLE WITH COMPUTATIONAL ADAPTATION","Falsifies broad absence of exact fixed-sample robust composite tests for special convex uncertainty sets; exact EMU-family testing and experiment design remain outside scope.","Provides a verified exact-overlap/identifiability obstruction, so that form of converse is established in general robust testing; no replicate-count or tracer-design converse is supplied.","ADD_TO_CORPUS_NEW_ID_PENDING","","The obstruction concerns uncertainty-radius overlap, not proof that every metabolic design is insufficient."
