"phase2a1_record_id","workstream_families","query_id","search_date","search_source","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","canonical_record_id","deduplication_basis","source_ledger","source_duplicate_group","source_screening_state","screening_state","source_exclusion_reason","exclusion_reason","evidence_depth","full_text_access_status","evidence_location","final_record_id","corpus_action","source_proposed_corpus_record","raw_snapshot","notes"
"A1AC-0001","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Minimax testing of a composite null hypothesis defined via a quadratic functional in the model of regression","Laëtitia Comminges; Arnak S. Dalalyan","2013","10.1214/13-ejs766","https://openalex.org/W2063519358","A1-DUP-0001","A1AC-0001","SOURCE_LEDGER_GROUP;NORMALIZED_DOI","AC","A1AC-DUP-0001","FULL_TEXT_INCLUDED","FULL_TEXT_INCLUDED","","","LEVEL_1_LOAD_BEARING","AUTHOR_MANUSCRIPT_FULL_TEXT_INSPECTED","arxiv_1208.1823_source/revision_EJS_2012.tex:181-262 (problem and asymptotic minimax framework), 571-674 (Theorems thm_1 and thm_2), 1392-1465 (proofs)","P0052","EXISTING_CORPUS_RECORD","NEW_CORPUS_CANDIDATE","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Constructive composite-vs-composite regression test and minimax lower bound are asymptotic separation-rate results, not an exact finite-sample guarantee."
"A1AC-0002","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Bayesian computation: a summary of the current state, and samples backwards and forwards","Peter J. Green; Krzysztof Łatuszyński; Marcelo Pereyra; Christian P. Robert","2015","10.1007/s11222-015-9574-5","https://openalex.org/W639587122","A1-DUP-0002","A1AC-0002","NORMALIZED_DOI","AC","A1AC-DUP-0002","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0003","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Testing by Betting: A Strategy for Statistical and Scientific Communication","Glenn Shafer","2021","10.1111/rssa.12647","https://openalex.org/W3159808052","A1-DUP-0003","A1AC-0003","SOURCE_LEDGER_GROUP","AC","A1AC-DUP-0003","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0004","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Safe testing","Peter Grünwald; Rianne de Heide; Wouter M. Koolen","2024","10.1093/jrsssb/qkae011","https://openalex.org/W4392613287","A1-DUP-0004","A1AC-0004","UNIQUE_OCCURRENCE","AC","A1AC-DUP-0004","DUPLICATE","DUPLICATE","DUPLICATE_OF_CORPUS_P0043","DUPLICATE_OF_CORPUS_P0043","LEVEL_3_DISCOVERY_ONLY","NOT_APPLICABLE","","","DUPLICATE_OF_EXISTING_CORPUS","P0043","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Already represented by a verified Phase 1/2 corpus record."
"A1AC-0005","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Noisy matrix decomposition via convex relaxation: Optimal rates in high dimensions","Alekh Agarwal; Sahand Negahban; Martin J. Wainwright","2012","10.1214/12-aos1000","https://openalex.org/W2154514661","A1-DUP-0005","A1AC-0005","SOURCE_LEDGER_GROUP;NORMALIZED_DOI","AC","A1AC-DUP-0005","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0006","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Restricted strong convexity and weighted matrix completion: Optimal bounds with noise","Sahand Negahban; Martin J. Wainwright","2010","10.48550/arxiv.1009.2118","https://openalex.org/W2111297856","A1-DUP-0006","A1AC-0006","SOURCE_LEDGER_GROUP","AC","A1AC-DUP-0006","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0007","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Testing goodness-of-fit and conditional independence with approximate co-sufficient sampling","Rina Foygel Barber; Lucas Janson","2022","10.1214/22-aos2187","https://openalex.org/W3043790179","A1-DUP-0007","A1AC-0007","UNIQUE_OCCURRENCE","AC","A1AC-DUP-0007","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0008","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Confidence Regions for the Multinomial Parameter With Small Sample Size","Djalil Chafaï; Didier Concordet","2009","10.1198/jasa.2009.tm08152","https://openalex.org/W2122478484","A1-DUP-0008","A1AC-0008","UNIQUE_OCCURRENCE","AC","A1AC-DUP-0008","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0009","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Game-Theoretic Statistics and Safe Anytime-Valid Inference","Aaditya Ramdas; Peter Grünwald; Vladimir Vovk; Glenn Shafer","2023","10.1214/23-sts894","https://openalex.org/W4388461534","A1-DUP-0009","A1AC-0009","UNIQUE_OCCURRENCE","AC","A1AC-DUP-0009","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
"A1AC-0010","A-C","PHASE2A1-SEARCH-0001","2026-07-31","OpenAlex","Testing exchangeability: Fork-convexity, supermartingales and e-processes","Aaditya Ramdas; Johannes Ruf; Martin Larsson; Wouter M. Koolen","2021","10.1016/j.ijar.2021.06.017","https://openalex.org/W3175186327","A1-DUP-0010","A1AC-0010","SOURCE_LEDGER_GROUP","AC","A1AC-DUP-0010","FALSE_POSITIVE","FALSE_POSITIVE","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","NO_DIRECT_FOUNDATIONAL_FIXED_SAMPLE_COMPOSITE_TEST_OR_MINIMAX_CONVERSE_RESULT_FOR_GAP_01_OR_GAP_03","LEVEL_3_DISCOVERY_ONLY","NOT_SOUGHT_AFTER_TITLE_METADATA_SCREEN","","","NONE","","audit/phase2a1_raw_search_results/AC/PHASE2A1-SEARCH-0001_openalex.json","Final title/metadata-level false-positive disposition for this bounded A–C workstream; no substantive claim is drawn from the record."
