"phase2a1_record_id","query_id","search_date","search_source","title","authors","year","doi_or_identifier","source_native_id","duplicate_group","screening_state","exclusion_reason","evidence_depth","full_text_access_status","evidence_location","proposed_corpus_record","raw_snapshot","notes"
"A1DEF-0001","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","Hypothesis Testing","","2009","10.1017/cbo9780511806957.004","https://doi.org/10.1017/cbo9780511806957.004","A1DEF-DUP-0001","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0002","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","Graphing Sample Distributions for Hypothesis Testing","","2021","10.4135/9781529630213.n2","https://doi.org/10.4135/9781529630213.n2","A1DEF-DUP-0002","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0003","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","Bringing Game Theory to Hypothesis Testing: Establishing Finite Sample Bounds on Inference","Karl H. Schlag","2008","10.2139/ssrn.1266059","https://doi.org/10.2139/ssrn.1266059","A1DEF-DUP-0003","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0004","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","Finite-Sample Two-Group Composite Hypothesis Testing via Machine Learning","Tianyu Zhan; Jian Kang","2022","10.1080/10618600.2021.2020128","https://doi.org/10.1080/10618600.2021.2020128","A1DEF-DUP-0004","FULL_TEXT_INCLUDED","","LEVEL_2_SUPPORTING","AUTHOR_MANUSCRIPT_FULL_TEXT_INSPECTED","Sections 2-3.3: two-group IID composite hypotheses, simulated training grid and critical-value construction; Sections 4-5 simulations; limitation discussion pp. 610-614 of source manuscript.","NEW_CORPUS_CANDIDATE","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Simulation-trained test; no theorem establishing a uniform finite-sample guarantee."
"A1DEF-0005","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","Sample Size Determination for Bayesian Informative Hypothesis Testing","; Qianrao Fu","","10.33540/1221","https://doi.org/10.33540/1221","A1DEF-DUP-0005","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0006","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","Active Fixed-Sample-Size Hypothesis Testing via POMDP Value Function Lipschitz Bounds","Timothy L. Molloy; Girish N. Nair","2024","10.23919/acc60939.2024.10644574","https://doi.org/10.23919/acc60939.2024.10644574","A1DEF-DUP-0006","FULL_TEXT_UNAVAILABLE","Official ANU repository preserved metadata only; primary conference full text was not legally accessible in the bounded search.","LEVEL_1_LOAD_BEARING","FULL_TEXT_UNAVAILABLE","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Not used for a substantive or absence conclusion."
"A1DEF-0007","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","Sample Size and Hypothesis Testing","","2023","10.1002/9781119800002.ch14","https://doi.org/10.1002/9781119800002.ch14","A1DEF-DUP-0007","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0008","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","Hypothesis Testing with One Sample","","2014","10.4324/9781315797564-13","https://doi.org/10.4324/9781315797564-13","A1DEF-DUP-0008","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0009","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","A Finite Sample Test for the Composite Hypothesis of Stable Law","Albert Paulson; Xing Zhong; Thomas R. Willemain","2016","10.2139/ssrn.2781635","https://doi.org/10.2139/ssrn.2781635","A1DEF-DUP-0009","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0010","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","The Optimal Finite-Sample Error Probability in Asymmetric Binary Hypothesis Testing","V. Lungu; I. Kontoyiannis","2024","10.1109/isit57864.2024.10619363","https://doi.org/10.1109/isit57864.2024.10619363","A1DEF-DUP-0010","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0011","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","Hypothesis Testing and Finite Sample Properties of Generalized Method of Moments Estimators: A Monte Carlo Study","Ching-Sheng Mao","1990","10.2139/ssrn.2123593","https://doi.org/10.2139/ssrn.2123593","A1DEF-DUP-0011","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0012","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","Hypothesis Testing and One-Sample t Tests","","2012","10.4135/9781071878989.n12","https://doi.org/10.4135/9781071878989.n12","A1DEF-DUP-0012","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
"A1DEF-0013","PHASE2A1-SEARCH-0021","2026-07-31","Crossref","One-Sample Hypothesis Testing Including Power and Sample Size","Melody S. Goodman","2025","10.4324/9781003401612-13","https://doi.org/10.4324/9781003401612-13","A1DEF-DUP-0013","FALSE_POSITIVE","Resolved at title/abstract/citation-context because the record was off-topic, application-specific, secondary, sequential-only, or methodologically redundant with a verified primary anchor; it was not retained and is not used to support a substantive or absence conclusion.","LEVEL_3_DISCOVERY","NOT_RETRIEVED","","","audit/phase2a1_raw_search_results/DEF/PHASE2A1-SEARCH-0021_crossref.json","Discovery-only; not used in synthesis or an absence conclusion."
