time,metabolite,mass_isotopologue,fraction
0,OAC,M+0,1
0,OAC,M+1,0
0,OAC,M+2,0
0,OAC,M+3,0
0,OAC,M+4,0
0.001,OAC,M+0,0.999999969792442
0.001,OAC,M+1,1.51037789064981e-08
0.001,OAC,M+2,1.51037789064981e-08
0.001,OAC,M+3,0
0.001,OAC,M+4,0
0.01,OAC,M+0,0.999435157821803
0.01,OAC,M+1,0.000282421089098595
0.01,OAC,M+2,0.000282419769738717
0.01,OAC,M+3,1.31935987833647e-09
0.01,OAC,M+4,2.19197001625416e-20
0.05,OAC,M+0,0.904013892238873
0.05,OAC,M+1,0.0479926010026536
0.05,OAC,M+2,0.0476115424729773
0.05,OAC,M+3,0.000381737846541427
0.05,OAC,M+4,2.26438955041084e-07
0.1,OAC,M+0,0.763211156894924
0.1,OAC,M+1,0.11820634193741
0.1,OAC,M+2,0.109383085218697
0.1,OAC,M+3,0.00910537614140569
0.1,OAC,M+4,9.40398075639424e-05
0.5,OAC,M+0,0.677092675780739
0.5,OAC,M+1,0.151053994582519
0.5,OAC,M+2,0.13020348389482
0.5,OAC,M+3,0.0364500119850913
0.5,OAC,M+4,0.00519983376291875
1,OAC,M+0,0.677083631928154
1,OAC,M+1,0.151042035590229
1,OAC,M+2,0.130208092338921
1,OAC,M+3,0.0364581659196339
1,OAC,M+4,0.00520807422293742
2,OAC,M+0,0.677083464490817
2,OAC,M+1,0.151041826608315
2,OAC,M+2,0.130208228295454
2,OAC,M+3,0.0364582600320089
2,OAC,M+4,0.00520822057306479
0,citrate,M+0,1
0,citrate,M+1,0
0,citrate,M+2,0
0,citrate,M+3,0
0,citrate,M+4,0
0,citrate,M+5,0
0,citrate,M+6,0
0.001,citrate,M+0,0.952325333292171
0.001,citrate,M+1,0.0238373333184146
0.001,citrate,M+2,0.0238373333361645
0.001,citrate,M+3,3.54997652973764e-11
0.001,citrate,M+4,1.77498826486882e-11
0.001,citrate,M+5,0
0.001,citrate,M+6,0
0.01,citrate,M+0,0.683949418438602
0.01,citrate,M+1,0.158001323391957
0.01,citrate,M+2,0.158013307041208
0.01,citrate,M+3,2.39674113017719e-05
0.01,citrate,M+4,1.19836943708396e-05
0.01,citrate,M+5,2.25600927310399e-11
0.01,citrate,M+6,0
0.05,citrate,M+0,0.471859111421669
0.05,citrate,M+1,0.248292433772999
0.05,citrate,M+2,0.256098645966147
0.05,citrate,M+3,0.0158193358750992
0.05,citrate,M+4,0.00788902305146714
0.05,citrate,M+5,4.14321192349396e-05
0.05,citrate,M+6,1.77933837580986e-08
0.1,citrate,M+0,0.392433736094282
0.1,citrate,M+1,0.249926889631864
0.1,citrate,M+2,0.273591510816747
0.1,citrate,M+3,0.0554341777610574
0.1,citrate,M+4,0.0269415747974335
