condition,target_name,internal_target_id,mass_index,mass_isotopologue,mean_fraction,median_fraction,minimum_fraction,maximum_fraction,standard_deviation,state_count
condition0,Pyruvate,pyruvate,0,M+0,0.25814332737723655,0.25841296004768932,0.24337970321956845,0.27503646133785442,0.0061577886682377602,100
condition0,Pyruvate,pyruvate,1,M+1,0.040791806149309245,0.040323740466911728,0.024777928093401441,0.055039631239919902,0.0059343127806168626,100
condition0,Pyruvate,pyruvate,2,M+2,0.043986405569671823,0.044437305712416927,0.025334759799633531,0.059781627861454828,0.006733342997899708,100
condition0,Pyruvate,pyruvate,3,M+3,0.6570784609037823,0.65686628528742408,0.64179903767905677,0.67485085076911033,0.0064259091081134041,100
condition0,Alanine,alanine,0,M+0,0.25814332737723655,0.25841296004768932,0.24337970321956845,0.27503646133785442,0.0061577886682377602,100
condition0,Alanine,alanine,1,M+1,0.040791806149309245,0.040323740466911728,0.024777928093401441,0.055039631239919902,0.0059343127806168626,100
condition0,Alanine,alanine,2,M+2,0.043986405569671823,0.044437305712416927,0.025334759799633531,0.059781627861454828,0.006733342997899708,100
condition0,Alanine,alanine,3,M+3,0.6570784609037823,0.65686628528742408,0.64179903767905677,0.67485085076911033,0.0064259091081134041,100
condition0,Lactate,lactate,0,M+0,0.25814332737723655,0.25841296004768932,0.24337970321956845,0.27503646133785442,0.0061577886682377602,100
condition0,Lactate,lactate,1,M+1,0.040791806149309245,0.040323740466911728,0.024777928093401441,0.055039631239919902,0.0059343127806168626,100
condition0,Lactate,lactate,2,M+2,0.043986405569671823,0.044437305712416927,0.025334759799633531,0.059781627861454828,0.006733342997899708,100
condition0,Lactate,lactate,3,M+3,0.6570784609037823,0.65686628528742408,0.64179903767905677,0.67485085076911033,0.0064259091081134041,100
condition0,Citrate,citrate,0,M+0,0.017199690510873087,0.017160576785220517,0.016205719454769289,0.018174908599074488,0.00051813520799349772,100
condition0,Citrate,citrate,1,M+1,0.034797649922862932,0.03551744764244142,0.025187877132627205,0.038249695861766797,0.0026004763304385181,100
condition0,Citrate,citrate,2,M+2,0.10335688560438484,0.10162452563636587,0.098980782964462791,0.12138151582661945,0.0042479659072468907,100
condition0,Citrate,citrate,3,M+3,0.1421114410915387,0.14484417472145034,0.11169926053743831,0.15003617182275014,0.0072305051697296556,100
condition0,Citrate,citrate,4,M+4,0.26880429678984985,0.26550574876939387,0.25181820398457022,0.31443729288746924,0.012127060641938747,100
condition0,Citrate,citrate,5,M+5,0.14544314804859101,0.1460773329188641,0.12395775292963046,0.15160279116842212,0.0043758352553934171,100
condition0,Citrate,citrate,6,M+6,0.28828688803189917,0.28836891088320765,0.28283698494764942,0.29352812590721883,0.0027546768199970956,100
condition0,aKG,akg,0,M+0,0.022386359722792574,0.022420038131504096,0.021817054502635474,0.022782658286766504,0.00020639682875255564,100
condition0,aKG,akg,1,M+1,0.061262552686073696,0.061295241395099023,0.060859091262110324,0.06153386206209565,0.0001607847306336096,100
condition0,aKG,akg,2,M+2,0.13195195314808605,0.13191873015110556,0.1314678327563342,0.13255378835191037,0.00020666785991327048,100
condition0,aKG,akg,3,M+3,0.28033385067838107,0.28034348683265103,0.27910427789507081,0.28141426748852799,0.00043164125348873204,100
