execution_order,reaction_id,input_flux_id,stage_b2_scalar_component,stoichiometry,atom_map,mapping_type,provenance
0,pts_glucose_component,pts_glucose_component,pts_glucose_component,SubsGlc-->G6P,ABCDEF-->ABCDEF,explicit_atom_transition,Example_2:r1
1,pts_pep_component,pts_pep_component,pts_pep_component,PEP-->Pyr,ABC-->ABC,explicit_atom_transition,Example_2:r14
2,pgi_forward,pgi_forward,pgi_forward,G6P-->F6P,ABCDEF-->ABCDEF,explicit_atom_transition,Example_2:r2
3,pgi_reverse,pgi_reverse,pgi_reverse,F6P-->G6P,ABCDEF-->ABCDEF,explicit_atom_transition,Example_2:r3
4,pfk_forward,pfk_forward,pfk_forward,F6P-->FBP,ABCDEF-->ABCDEF,explicit_atom_transition,Example_2:r4
5,fbp_forward,fbp_forward,fbp_forward,FBP-->F6P,ABCDEF-->ABCDEF,explicit_atom_transition,Example_2:r5
6,fba_forward,fba_forward,fba_forward,FBP-->DHAP+GAP,ABCDEF-->CBA+DEF,explicit_atom_transition,Example_2:r6
7,tpi_forward,tpi_forward,tpi_forward,DHAP-->GAP,ABC-->ABC,explicit_atom_transition,Example_2:r8
8,lower_glycolysis_gap_to_pga,lower_glycolysis_gap_to_pga,lower_glycolysis_gap_to_pga,GAP-->PGA,ABC-->ABC,source_backed_lump,Example_2:r10
9,lower_glycolysis_pga_to_pep,lower_glycolysis_pga_to_pep,lower_glycolysis_pga_to_pep,PGA-->PEP,ABC-->ABC,source_backed_lump,Example_2:r12
10,pyk_forward,pyk_forward,pyk_forward,PEP-->Pyr,ABC-->ABC,explicit_atom_transition,Example_2:r14
11,pps_forward,pps_forward,pps_forward,Pyr-->PEP,ABC-->ABC,explicit_atom_transition,Example_2:r15
12,pdh_forward,pdh_forward,pdh_forward,Pyr-->AcCOA+CO2,ABC-->BC+A,explicit_atom_transition,Example_2:r16
13,tca_citrate_isocitrate,tca_citrate_isocitrate,tca_citrate_isocitrate,AcCOA+Oxa-->IsoCit,AB+CDEF-->FEDBAC,source_backed_lump,Example_2:r17; CS=ACONTa=ACONTb
14,icdh_forward,icdh_forward,icdh_forward,IsoCit-->aKG+CO2,ABCDEF-->ABCDE+F,explicit_atom_transition,Example_2:r18
15,akg_to_succinate,akg_to_succinate,akg_to_succinate,aKG-->Suc+CO2,ABCDE-->BCDE+A,source_backed_lump,Example_2:r19; AKGDH=-SUCOAS
16,succinate_to_fumarate,succinate_to_fumarate,succinate_to_fumarate,Suc-->Fum,ABCD-->ABCD,explicit_atom_transition,Example_2:r20; checked Suc/Fum symmetry
17,fumarate_to_succinate,fumarate_to_succinate,fumarate_to_succinate,Fum-->Suc,ABCD-->ABCD,explicit_atom_transition,Example_2:r21; checked Suc/Fum symmetry
18,fumarate_to_malate,fumarate_to_malate,fumarate_to_malate,Fum-->Mal,ABCD-->ABCD,explicit_atom_transition,Example_2:r22; checked Fum symmetry
19,malate_to_fumarate,malate_to_fumarate,malate_to_fumarate,Mal-->Fum,ABCD-->ABCD,explicit_atom_transition,Example_2:r23; checked Fum symmetry
20,malate_to_oaa,malate_to_oaa,malate_to_oaa,Mal-->Oxa,ABCD-->ABCD,explicit_atom_transition,Example_2:r24
21,oaa_to_malate,oaa_to_malate,oaa_to_malate,Oxa-->Mal,ABCD-->ABCD,explicit_atom_transition,Example_2:r25
22,glyoxylate_bypass,glyoxylate_bypass,glyoxylate_bypass,IsoCit+AcCOA-->Mal+Suc,ABCDEF+GH-->ABHG+FCDE,source_backed_lump,Example_2:r26; ICL=MALS
23,oxidative_ppp_net,oxidative_ppp_net,oxidative_ppp_net,G6P-->m6PG,ABCDEF-->ABCDEF,source_backed_lump,Example_2:r27; G6PDH2r=PGL
24,gnd_forward,gnd_forward,gnd_forward,m6PG-->Ru5P+CO2,ABCDEF-->BCDEF+A,explicit_atom_transition,Example_2:r28
25,rpi_ru5p_to_r5p,rpi_ru5p_to_r5p,rpi_ru5p_to_r5p,Ru5P-->R5P,ABCDE-->ABCDE,explicit_atom_transition,Example_2:r29
