condition,state_id,target_name,internal_target_id,direct_or_reporter,carbon_count,mass_index,mass_isotopologue,fraction
condition0,theta0_sample_000,Pyruvate,pyruvate,direct,3,0,M+0,0.26728151706572545
condition0,theta0_sample_000,Pyruvate,pyruvate,direct,3,1,M+1,0.032021573403653122
condition0,theta0_sample_000,Pyruvate,pyruvate,direct,3,2,M+2,0.034112301995517527
condition0,theta0_sample_000,Pyruvate,pyruvate,direct,3,3,M+3,0.66658460753510407
condition0,theta0_sample_000,Alanine,alanine,reporter,3,0,M+0,0.26728151706572545
condition0,theta0_sample_000,Alanine,alanine,reporter,3,1,M+1,0.032021573403653122
condition0,theta0_sample_000,Alanine,alanine,reporter,3,2,M+2,0.034112301995517527
condition0,theta0_sample_000,Alanine,alanine,reporter,3,3,M+3,0.66658460753510407
condition0,theta0_sample_000,Lactate,lactate,reporter,3,0,M+0,0.26728151706572545
condition0,theta0_sample_000,Lactate,lactate,reporter,3,1,M+1,0.032021573403653122
condition0,theta0_sample_000,Lactate,lactate,reporter,3,2,M+2,0.034112301995517527
condition0,theta0_sample_000,Lactate,lactate,reporter,3,3,M+3,0.66658460753510407
condition0,theta0_sample_000,Citrate,citrate,reporter,6,0,M+0,0.017063833786351439
condition0,theta0_sample_000,Citrate,citrate,reporter,6,1,M+1,0.035463653474847694
condition0,theta0_sample_000,Citrate,citrate,reporter,6,2,M+2,0.10163419767822938
condition0,theta0_sample_000,Citrate,citrate,reporter,6,3,M+3,0.14480783402211936
condition0,theta0_sample_000,Citrate,citrate,reporter,6,4,M+4,0.26626895615153895
condition0,theta0_sample_000,Citrate,citrate,reporter,6,5,M+5,0.14680052482530012
condition0,theta0_sample_000,Citrate,citrate,reporter,6,6,M+6,0.2879610000616134
condition0,theta0_sample_000,aKG,akg,direct,5,0,M+0,0.02232258420820064
condition0,theta0_sample_000,aKG,akg,direct,5,1,M+1,0.061301237479825715
condition0,theta0_sample_000,aKG,akg,direct,5,2,M+2,0.132096930466158
condition0,theta0_sample_000,aKG,akg,direct,5,3,M+3,0.27992896660441802
condition0,theta0_sample_000,aKG,akg,direct,5,4,M+4,0.18703340443238448
condition0,theta0_sample_000,aKG,akg,direct,5,5,M+5,0.31731687680901349
condition0,theta0_sample_000,Succinate,succinate,direct,4,0,M+0,0.047029729666690875
condition0,theta0_sample_000,Succinate,succinate,direct,4,1,M+1,0.084573550363953448
condition0,theta0_sample_000,Succinate,succinate,direct,4,2,M+2,0.27858841929252282
condition0,theta0_sample_000,Succinate,succinate,direct,4,3,M+3,0.20098359165633098
condition0,theta0_sample_000,Succinate,succinate,direct,4,4,M+4,0.3888247090205022
condition0,theta0_sample_000,Fumarate,fumarate,direct,4,0,M+0,0.047029729666690875
condition0,theta0_sample_000,Fumarate,fumarate,direct,4,1,M+1,0.084573550363953448
condition0,theta0_sample_000,Fumarate,fumarate,direct,4,2,M+2,0.27858841929252282
condition0,theta0_sample_000,Fumarate,fumarate,direct,4,3,M+3,0.20098359165633098
condition0,theta0_sample_000,Fumarate,fumarate,direct,4,4,M+4,0.38882470902050215
condition0,theta0_sample_000,Malate,malate,direct,4,0,M+0,0.047603375511623164
condition0,theta0_sample_000,Malate,malate,direct,4,1,M+1,0.083445148634064686
