member_id,support_label,active_edges,mixing_weight,SRC_P,e_A,e_B,e_C,d_XW,OUT_W,DM_CO2,DM_W_out,W_M+0,W_M+1
emu_member_000000,G_A,e_A,,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.25,0.75
emu_member_000001,G_B,e_B,,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.75,0.25
emu_member_000002,G_C,e_C,,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.75,0.25
emu_member_000003,G_AB,e_A+e_B,0.2,1.0,0.2,0.8,0.0,1.0,1.0,2.0,1.0,0.65,0.35000000000000003
emu_member_000004,G_AB,e_A+e_B,0.26,1.0,0.26,0.74,0.0,1.0,1.0,2.0,1.0,0.62,0.38
emu_member_000005,G_AB,e_A+e_B,0.32000000000000006,1.0,0.32000000000000006,0.6799999999999999,0.0,1.0,1.0,2.0,1.0,0.59,0.41000000000000003
emu_member_000006,G_AB,e_A+e_B,0.38000000000000006,1.0,0.38000000000000006,0.6199999999999999,0.0,1.0,1.0,2.0,1.0,0.5599999999999999,0.44
emu_member_000007,G_AB,e_A+e_B,0.44000000000000006,1.0,0.44000000000000006,0.5599999999999999,0.0,1.0,1.0,2.0,1.0,0.53,0.4700000000000001
emu_member_000008,G_AB,e_A+e_B,0.5,1.0,0.5,0.5,0.0,1.0,1.0,2.0,1.0,0.5,0.5
emu_member_000009,G_AB,e_A+e_B,0.56,1.0,0.56,0.43999999999999995,0.0,1.0,1.0,2.0,1.0,0.47,0.53
emu_member_000010,G_AB,e_A+e_B,0.6200000000000001,1.0,0.6200000000000001,0.3799999999999999,0.0,1.0,1.0,2.0,1.0,0.43999999999999995,0.56
emu_member_000011,G_AB,e_A+e_B,0.6800000000000002,1.0,0.6800000000000002,0.31999999999999984,0.0,1.0,1.0,2.0,1.0,0.4099999999999999,0.5900000000000001
emu_member_000012,G_AB,e_A+e_B,0.7400000000000002,1.0,0.7400000000000002,0.2599999999999998,0.0,1.0,1.0,2.0,1.0,0.3799999999999999,0.6200000000000001
emu_member_000013,G_AB,e_A+e_B,0.8,1.0,0.8,0.2,0.0,1.0,1.0,2.0,1.0,0.35000000000000003,0.6500000000000001
emu_member_000014,G_AC,e_A+e_C,0.2,1.0,0.2,0.0,0.8,1.0,1.0,2.0,1.0,0.65,0.35000000000000003
emu_member_000015,G_AC,e_A+e_C,0.26,1.0,0.26,0.0,0.74,1.0,1.0,2.0,1.0,0.62,0.38
emu_member_000016,G_AC,e_A+e_C,0.32000000000000006,1.0,0.32000000000000006,0.0,0.6799999999999999,1.0,1.0,2.0,1.0,0.59,0.41000000000000003
emu_member_000017,G_AC,e_A+e_C,0.38000000000000006,1.0,0.38000000000000006,0.0,0.6199999999999999,1.0,1.0,2.0,1.0,0.5599999999999999,0.44
emu_member_000018,G_AC,e_A+e_C,0.44000000000000006,1.0,0.44000000000000006,0.0,0.5599999999999999,1.0,1.0,2.0,1.0,0.53,0.4700000000000001
emu_member_000019,G_AC,e_A+e_C,0.5,1.0,0.5,0.0,0.5,1.0,1.0,2.0,1.0,0.5,0.5
emu_member_000020,G_AC,e_A+e_C,0.56,1.0,0.56,0.0,0.43999999999999995,1.0,1.0,2.0,1.0,0.47,0.53
emu_member_000021,G_AC,e_A+e_C,0.6200000000000001,1.0,0.6200000000000001,0.0,0.3799999999999999,1.0,1.0,2.0,1.0,0.43999999999999995,0.56
emu_member_000022,G_AC,e_A+e_C,0.6800000000000002,1.0,0.6800000000000002,0.0,0.31999999999999984,1.0,1.0,2.0,1.0,0.4099999999999999,0.5900000000000001
emu_member_000023,G_AC,e_A+e_C,0.7400000000000002,1.0,0.7400000000000002,0.0,0.2599999999999998,1.0,1.0,2.0,1.0,0.3799999999999999,0.6200000000000001
emu_member_000024,G_AC,e_A+e_C,0.8,1.0,0.8,0.0,0.2,1.0,1.0,2.0,1.0,0.35000000000000003,0.6500000000000001
emu_member_000025,G_BC,e_B+e_C,0.2,1.0,0.0,0.2,0.8,1.0,1.0,2.0,1.0,0.75,0.25
emu_member_000026,G_BC,e_B+e_C,0.26,1.0,0.0,0.26,0.74,1.0,1.0,2.0,1.0,0.75,0.25
emu_member_000027,G_BC,e_B+e_C,0.32000000000000006,1.0,0.0,0.32000000000000006,0.6799999999999999,1.0,1.0,2.0,1.0,0.75,0.25
emu_member_000028,G_BC,e_B+e_C,0.38000000000000006,1.0,0.0,0.38000000000000006,0.6199999999999999,1.0,1.0,2.0,1.0,0.75,0.25
emu_member_000029,G_BC,e_B+e_C,0.44000000000000006,1.0,0.0,0.44000000000000006,0.5599999999999999,1.0,1.0,2.0,1.0,0.75,0.25
emu_member_000030,G_BC,e_B+e_C,0.5,1.0,0.0,0.5,0.5,1.0,1.0,2.0,1.0,0.75,0.25
emu_member_000031,G_BC,e_B+e_C,0.56,1.0,0.0,0.56,0.43999999999999995,1.0,1.0,2.0,1.0,0.75,0.25
emu_member_000032,G_BC,e_B+e_C,0.6200000000000001,1.0,0.0,0.6200000000000001,0.3799999999999999,1.0,1.0,2.0,1.0,0.75,0.25
emu_member_000033,G_BC,e_B+e_C,0.6800000000000002,1.0,0.0,0.6800000000000002,0.31999999999999984,1.0,1.0,2.0,1.0,0.75,0.25
emu_member_000034,G_BC,e_B+e_C,0.7400000000000002,1.0,0.0,0.7400000000000002,0.2599999999999998,1.0,1.0,2.0,1.0,0.75,0.25
emu_member_000035,G_BC,e_B+e_C,0.8,1.0,0.0,0.8,0.2,1.0,1.0,2.0,1.0,0.7500000000000001,0.25
