class_index,member_id,block,M+0,M+1,M+2
0,emu_member_000000,X_full,0.1875,0.625,0.1875
1,emu_member_000001,X_full,0.5625,0.375,0.0625
2,emu_member_000002,X_full,0.1875,0.625,0.1875
3,emu_member_000003,X_full,0.48750000000000004,0.42500000000000004,0.08750000000000001
3,emu_member_000004,X_full,0.46499999999999997,0.44,0.095
3,emu_member_000005,X_full,0.4425,0.455,0.10250000000000001
3,emu_member_000006,X_full,0.41999999999999993,0.47,0.11
3,emu_member_000007,X_full,0.39749999999999996,0.485,0.11750000000000002
3,emu_member_000008,X_full,0.375,0.5,0.125
3,emu_member_000009,X_full,0.3525,0.515,0.1325
3,emu_member_000010,X_full,0.32999999999999996,0.53,0.14
3,emu_member_000011,X_full,0.30749999999999994,0.545,0.14750000000000002
3,emu_member_000012,X_full,0.2849999999999999,0.56,0.15500000000000003
3,emu_member_000013,X_full,0.2625,0.575,0.16250000000000003
4,emu_member_000014,X_full,0.1875,0.625,0.1875
4,emu_member_000015,X_full,0.1875,0.625,0.1875
4,emu_member_000016,X_full,0.1875,0.625,0.1875
4,emu_member_000017,X_full,0.1875,0.625,0.1875
4,emu_member_000018,X_full,0.1875,0.625,0.1875
4,emu_member_000019,X_full,0.1875,0.625,0.1875
4,emu_member_000020,X_full,0.1875,0.625,0.1875
4,emu_member_000021,X_full,0.1875,0.625,0.1875
4,emu_member_000022,X_full,0.1875,0.625,0.1875
4,emu_member_000023,X_full,0.1875,0.625,0.1875
4,emu_member_000024,X_full,0.18750000000000003,0.625,0.18750000000000003
5,emu_member_000025,X_full,0.2625,0.575,0.16250000000000003
5,emu_member_000026,X_full,0.285,0.56,0.15499999999999997
5,emu_member_000027,X_full,0.30750000000000005,0.5449999999999999,0.14750000000000002
5,emu_member_000028,X_full,0.33,0.53,0.13999999999999999
5,emu_member_000029,X_full,0.35250000000000004,0.515,0.13249999999999998
5,emu_member_000030,X_full,0.375,0.5,0.125
5,emu_member_000031,X_full,0.3975,0.485,0.1175
5,emu_member_000032,X_full,0.42000000000000004,0.47,0.10999999999999999
5,emu_member_000033,X_full,0.44250000000000006,0.45499999999999996,0.10249999999999998
5,emu_member_000034,X_full,0.4650000000000001,0.43999999999999995,0.09499999999999997
5,emu_member_000035,X_full,0.48750000000000004,0.42500000000000004,0.08750000000000001
