target_path	source_repository	source_commit	source_path	source_blob_sha	bytes_status	transformation	target_sha256	classification	requirement	validation_status
simulation/.gitignore	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	(target-authored export file)	-	target-authored	new export-specific runtime-artifact exclusions	2daaf30375862744ed1f988e85435d11fe33b15667a1d01038ba920ad1ee2630	CORE	required	not executable; reviewed in final audit
simulation/README.md	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/README.md	4bebd80f4f45055adde6762ae1e7320787d1b156	transformed	rewritten for target scope, external dependencies, conservative claims, and provenance links	586920ac602e2466c37582bb96ea88d18a87c96c5cfb9da65f32c9786e32cd0a	DOC	required	not executable; reviewed in final audit
simulation/docs/CARBON_TRANSITION_LIBRARY.md	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/docs/CARBON_TRANSITION_LIBRARY.md	20233bf2d312c08b8d7b191e3cc5264f4268a034	unchanged	path relocation only; bytes identical to source blob	94599a05885dad73c27ccde04bbcce4770d7e2211b79da872e524adfb7eccb17	DOC	required	not executable; reviewed in final audit
simulation/docs/EXPERIMENT_FORMAT.md	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/docs/EXPERIMENT_FORMAT.md	1d10dd631d88442a08c1edfbcc287ed847d942dd	transformed	replaced absolute workspace example path with target-relative link	a4199b775dde937e7abc701a7ee89003ec69abbb265a929b592e16ca35555a6c	DOC	required	not executable; reviewed in final audit
simulation/docs/KNOWN_LIMITATIONS.md	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/docs/KNOWN_LIMITATIONS.md	ef3b39f0dcb0e3710d990306fec474af7e3a6432	transformed	removed workspace/vendor assumptions and documented external dependency and excluded legacy references	10df77b47e4d98977ec31d55b412901bed09397a013b0b5bf978be3d722f4fcf	DOC	required	not executable; reviewed in final audit
simulation/docs/MFAPY_PATCH.md	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/docs/MFAPY_PATCH.md	f7de94cfc1d79e5668f623860d7328fa1eee75ea	transformed	rewritten as target-specific historical patch record with exact commits and blobs	3924b59e53dd876a95b4af6f5b73720cdd35ea4c2775588ed09fe92e4e688fa6	DOC	required	not executable; reviewed in final audit
simulation/docs/STATISTICAL_SCOPE.md	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	(target-authored export file)	-	target-authored	new conservative scope record mapped to Metabolism_Testing questions	fd78b4196c2e4fc2758ce10d50972dc5539043e6cdd33f29f6495acbe0d24fc9	DOC	required	not executable; reviewed in final audit
simulation/examples/antoniewicz_tca/BENCHMARK_VALIDATION.md	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/examples/antoniewicz_tca/BENCHMARK_VALIDATION.md	6075469856c7eaa9cb5acf81ac81b4bd5b069a78	unchanged	path relocation only; bytes identical to source blob	78efa542d9e00487464b1a707ad4534904eff299611773c168505c6a65785f3a	BENCHMARK	required	focused-suite-passed
simulation/examples/antoniewicz_tca/PAPER_TRANSCRIPTION.md	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/examples/antoniewicz_tca/PAPER_TRANSCRIPTION.md	3f5d24ac125812d73c047ff622d0dc54e936c53a	transformed	removed machine-local PDF link and recorded exclusion and verification uncertainty	6f7fde52db601f3c465fd4a9dd4510288010c1ecd339ec2cb1c0f5db231cf091	BENCHMARK	required	focused-suite-passed
simulation/examples/antoniewicz_tca/TIMECOURSE_VALIDATION.md	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/examples/antoniewicz_tca/TIMECOURSE_VALIDATION.md	0a8c293aa925ae3de7e710c3843bfed693c755d8	unchanged	path relocation only; bytes identical to source blob	46c9400434b4cb66fdb1ecf2da706f9649ef4fbcfe2441a33e17ed1beda48259	BENCHMARK	optional	focused-suite-passed
simulation/examples/antoniewicz_tca/antoniewicz_tca.xml	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/examples/antoniewicz_tca/antoniewicz_tca.xml	e7417efc71250341d2cef6ece7a87dfb93fa0e33	transformed	updated embedded benchmark source wording to omit uploaded-PDF filename	2ec24f9acdeb47bf0c1d075a8e153eea2d42b9d8b317991faa16b673945374ce	BENCHMARK	required	focused-suite-passed
simulation/examples/antoniewicz_tca/build_model.py	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/examples/antoniewicz_tca/build_model.py	09372b4826d4e1ed4de5895a20f06ec1f32ad66f	transformed	replaced uploaded-PDF filename with bibliographic source wording	56c1e7727997799818b11a7e796a9355714a9a7ca4eba193b407ab82af286189	BENCHMARK	required	focused-suite-passed
simulation/examples/antoniewicz_tca/direct_isotopomer_solver.py	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/examples/antoniewicz_tca/direct_isotopomer_solver.py	40f86ac9259557997cbf7aee0f94fb879213bcd0	unchanged	path relocation only; bytes identical to source blob	25188af5698ba61be939d3a15497a8ad9951f094f3c423f7010c52aa9efe7ed8	BENCHMARK	required	focused-suite-passed
simulation/examples/antoniewicz_tca/experiment_stationary.yaml	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/examples/antoniewicz_tca/experiment_stationary.yaml	7bd5c73cfe9a75f217a6bf01129fc338f4f1c722	unchanged	path relocation only; bytes identical to source blob	b92c1fcac08068cb0f778d5cbe0b1a426feba76a36b510cbb1cda0f0cd772469	BENCHMARK	required	focused-suite-passed
simulation/examples/antoniewicz_tca/experiment_timecourse.yaml	https://github.com/esig626/fluxemu-prototype	711ead67cd739d0e13c16cde34d9d7113b83043d	codex/examples/antoniewicz_tca/experiment_timecourse.yaml	3b1a48d9e87f0f34feae8e1fc461b3506d9b305b	unchanged	path relocation only; bytes identical to source blob	56b6a4f9f2a6a363947d8b2446398c01ddb51445fab94d645fa58f12dd8cf356	BENCHMARK	optional	focused-suite-passed
